Cohort Year,School,Conference,Sport,State,GSR
2012,University of Texas at San Antonio,Conference USA,Football,TX,81
2012,Troy University,Sun Belt Conference,Football,AL,74
2012,Tulane,American Athletic Conference,Football,LA,89
2012,The University of Tulsa,American Athletic Conference,Football,OK,78
2012,U.S. Air Force Academy,Mountain West Conference,Football,CO,80
2012,U.S. Naval Academy,American Athletic Conference,Football,MD,83
2012,Utah State University,Mountain West Conference,Football,UT,92
2012,University of Utah,Pac-12 Conference,Football,UT,93
2012,Vanderbilt University,Southeastern Conference,Football,TN,95
2012,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,87
2012,University of Virginia,Atlantic Coast Conference,Football,VA,86
2012,Wake Forest University,Atlantic Coast Conference,Football,NC,86
2012,Washington State University,Pac-12 Conference,Football,WA,80
2012,University of Washington,Pac-12 Conference,Football,WA,90
2012,West Virginia University,Big 12 Conference,Football,WV,66
2012,Western Kentucky University,Conference USA,Football,KY,71
2012,Western Michigan University,Mid-American Conference,Football,MI,80
2012,University of Wisconsin-Madison,Big Ten Conference,Football,WI,90
2012,University of Wyoming,Mountain West Conference,Football,WY,85
2012,University of Alabama at Birmingham,Conference USA,Football,AL,71
2012,University of Toledo,Mid-American Conference,Football,OH,83
